,tagname,fish id,reciever_id,longitude,latitude,date,miss_id
1,A69-9001-18453,1,45,-76.32579,37.28028,9/1/2018,0
2,A69-9001-18453,1,NA,NA,NA,9/2/2018,1
3,A69-9001-18453,1,NA,NA,NA,9/3/2018,1
4,A69-9001-18453,1,NA,NA,NA,9/3/2018,1
5,A69-9001-18453,1,32,-76.2236,37.217,9/5/2018,0
6,A69-9001-18453,1,NA,NA,NA,9/6/2018,1
7,A69-9001-18453,1,NA,NA,NA,9/7/2018,1
8,A69-9001-18453,1,NA,NA,NA,9/8/2018,1
9,A69-9001-18453,1,NA,NA,NA,9/9/2018,1
10,A69-9001-18453,1,19,-76.15065,37.14462,9/10/2018,0
11,A69-9001-18453,1,NA,NA,NA,9/11/2018,1
12,A69-9001-18453,1,13,-76.1195,37.1007,9/12/2018,0
13,A69-9001-18434,2,44,-76.22683,37.26861,9/23/2017,0
14,A69-9001-18434,2,NA,NA,NA,9/26/2017,1
15,A69-9001-18434,2,NA,NA,NA,9/26/2017,1
16,A69-9001-18434,2,NA,NA,NA,9/26/2017,1
17,A69-9001-18434,2,NA,NA,NA,9/27/2017,1
18,A69-9001-18434,2,NA,NA,NA,9/28/2017,1
19,A69-9001-18434,2,30,-76.26609,37.2007,9/29/2017,0
20,A69-9001-18434,2,NA,NA,NA,9/30/2017,1
21,A69-9001-18434,2,NA,NA,NA,10/1/2017,1
22,A69-9001-18434,2,NA,NA,NA,10/2/2017,1
23,A69-9001-18434,2,NA,NA,NA,10/3/2017,1
24,A69-9001-18434,2,NA,NA,NA,10/4/2017,1
25,A69-9001-18434,2,NA,NA,NA,10/5/2017,1
26,A69-9001-18434,2,NA,NA,NA,10/6/2017,1
27,A69-9001-18434,2,NA,NA,NA,10/7/2017,1
28,A69-9001-18434,2,NA,NA,NA,10/8/2017,1
29,A69-9001-18434,2,NA,NA,NA,10/9/2017,1
30,A69-9001-18434,2,26,-76.15695,37.18612,10/10/2017,0
